en;ru;kk;translation_key
IP adress;IP адрес;IP мекенжай;sessions_terminalip
Payment destination code;Код назначение платежа;Төлемнің белгілену коды ;common_purposeCode
Documents ;Документы;Құжаттар;navigation_documents
Your profile is deleted;Ваш профиль удален;Сіздің бейініңіз жойылған;login.ProfileDeleted
View and Editing the System Module;Просмотр и редактирование Модуля системы;Жүйе модулін қарау және редакциялау;viewingEditingSystemModule
Enter template title;Введите имя шаблона;Шаблонның атын енгізіңіз;Payment_action_inputTemplateName
Authorization factor name;Название фактора авторизации;Авторлау факторының атауы;authfactor_name
Safety tips;Советы по безопасности;Қауіпсіздік бойынша кеңестер;login_tips
Current phone number;Текущий телефон;Ағымдағы телефон;personal_currentPhone
Description of the budgetary classification code;Описание КБК;БЖК сипаттау;paymentOrder_budgetCodeDescription
Maximum number of incorrect passwords;Максимальное количество неправильных паролей;Дұрыс емес құпиясөздердің максималды саны;customeruser_maxIncorrectPasswordCount
Invalid SMS password;Неверный смс пароль;Дұрыс емес смс құпиясөз;login.IncorrectSMSPassword
Account validity period;Срок действия счета;шоттың әрекет мерзімі;accountValidity
First-time user;Новый пользователь;Жаңа пайдаланушы;customerUser_add
Amount;Сумма;Сома;paymentOrder_amount
Type of deposit products;Виды депозитных продуктов;Депозиттік өнімдердің түрлері;depositProductTypes
View of card lock/unlock history;Просмотр истории блокировок/разблокировок карты;Картаны бұғаттау/бұғаттан шығару тарихын қарау;viewHistoryCardLockUnlock
Requests for re-issuance of certificates;Запросы на перевыпуск сертификатов;Сертификатты қайта шығаруға сұранымдар;certificationRequests
Is set by the client;Настраивается клиентом;Клиентпен бапталады;notificationtype_iseditablebyclient
Rate;Курс;Бағам;accTransfer_rate
Open;Открытый;Ашық;common_opened
Rate scale;Масштаб курса;Бағам ауқымы;exchangeRates_courseScale
Are you sure you want to delete Type of deposit products №;Вы действительно хотите удалить Вид депозитных продуктов №;Сіз шынымен № депозиттік өнімдердің Түрін өшіргіңіз келеді ме;sureYouWantDeleteDepositProductType
Types of commissions;Типы комиссий;Комиссия типтері;feesTypes
Privilege;Привилегии;Артықшылықтар;roles_privileges
IIN / BIN of the payer;ИИН/БИН плательщика;Төлеушінің ЖСН/БСН;domTransfer_payerTaxCode
Beneficiary Code:;КБЕ:;КБЕ:;KBE
Log on to;Вход до;дейін кіру;companyperson_validto
National name;Национальное название;Ұлттық атау;district_name
There is no currency exchange rate;Курс валют отсутствует;Валюталардың бағамы жоқ;paymentOrder_exchangeRateEmpty
Amount;Сумма;Сома;notification_amount
View of the payment order;Просмотр платежного поручения;Төлемдік тапсырманы қарау;paymentOrder_view
Wrong password;Неверный пароль;Дұрыс емес  құпия сөз;personal_incorrectPass
Name;Наименование;Атауы;global_settings.constants.table.col.name
Send to bank;Отправить в банк;Банкке жөнелту;paymentOrder_sentToBank
Directories;Справочники;Анықтамалықтар;navigation_handbooks
Budgetary Classification Code;КБК;БЖК;paymentOrder_budgetCode
Direction;Направление;Бағыт;direction
Signature is not required;Подпись не требуется;Қолтаңба қажет емес;signature.signIsNotRequired
